1,normal
2,normal
3,anomaly
4,normal
5,normal
6,anomaly
7,anomaly
8,anomaly
9,anomaly
10,anomaly
11,anomaly
12,anomaly
13,normal
14,anomaly
15,anomaly
16,anomaly
17,normal
18,anomaly
19,normal
20,normal
21,anomaly
22,anomaly
23,normal
24,normal
25,anomaly
26,normal
27,anomaly
28,normal
29,normal
30,normal
31,anomaly
32,anomaly
33,normal
34,anomaly
35,normal
36,normal
37,normal
38,anomaly
39,normal
40,anomaly
41,anomaly
42,anomaly
43,normal
44,normal
45,normal
46,anomaly
47,anomaly
48,normal
49,anomaly
50,anomaly
51,normal
52,anomaly
53,anomaly
54,normal
55,normal
56,normal
57,anomaly
58,anomaly
59,anomaly
60,normal
61,normal
62,anomaly
63,anomaly
64,normal
65,anomaly
66,normal
67,anomaly
68,anomaly
69,anomaly
70,anomaly
71,normal
72,anomaly
73,normal
74,normal
75,anomaly
76,normal
77,anomaly
78,normal
79,normal
80,anomaly
81,normal
82,anomaly
83,anomaly
84,anomaly
85,normal
86,anomaly
87,normal
88,anomaly
89,anomaly
90,normal
91,normal
92,normal
93,normal
94,anomaly
95,anomaly
96,normal
97,normal
98,normal
99,normal
100,anomaly
101,normal
102,normal
103,normal
104,normal
105,anomaly
106,normal
107,normal
108,normal
109,normal
110,normal
111,normal
112,normal
113,normal
114,normal
115,normal
116,anomaly
117,anomaly
118,normal
119,normal
120,normal
121,anomaly
122,anomaly
123,anomaly
124,normal
125,anomaly
126,normal
127,normal
128,normal
129,normal
130,normal
131,anomaly
132,anomaly
133,normal
134,normal
135,anomaly
136,anomaly
137,normal
138,normal
139,anomaly
140,anomaly
141,normal
142,anomaly
143,anomaly
144,normal
145,normal
146,normal
147,anomaly
148,normal
149,anomaly
150,anomaly
151,anomaly
152,normal
153,anomaly
154,anomaly
155,anomaly
156,normal
157,normal
158,anomaly
159,anomaly
160,anomaly
161,normal
162,normal
163,normal
164,normal
165,anomaly
166,anomaly
167,normal
168,normal
169,normal
170,normal
171,anomaly
172,normal
173,anomaly
174,anomaly
175,anomaly
176,anomaly
177,normal
178,anomaly
179,anomaly
180,anomaly
181,normal
182,normal
183,normal
184,normal
185,anomaly
186,anomaly
187,anomaly
188,anomaly
189,normal
190,normal
191,anomaly
192,normal
193,anomaly
194,anomaly
195,normal
196,normal
197,normal
198,normal
199,anomaly
200,normal
201,normal
202,anomaly
203,normal
204,normal
205,normal
206,normal
207,anomaly
208,normal
209,normal
210,anomaly
211,anomaly
212,anomaly
213,anomaly
214,normal
215,anomaly
216,anomaly
217,normal
218,normal
219,normal
220,normal
221,normal
222,anomaly
223,anomaly
224,anomaly
225,anomaly
226,normal
227,normal
228,anomaly
229,normal
230,normal
231,normal
232,normal
233,normal
234,anomaly
235,normal
236,anomaly
237,anomaly
238,anomaly
239,normal
240,normal
241,normal
242,anomaly
243,anomaly
244,anomaly
245,anomaly
246,normal
247,anomaly
248,anomaly
249,anomaly
250,normal
251,anomaly
252,normal
253,normal
254,anomaly
255,anomaly
256,anomaly
257,normal
258,normal
259,anomaly
260,normal
261,anomaly
262,normal
263,normal
264,anomaly
265,normal
266,normal
267,normal
268,normal
269,anomaly
270,anomaly
271,normal
272,anomaly
273,normal
